TOWN,TOWN_aaa,TRACT,LON,LAT,MEDV,CMEDV,crim,ZN,INDUS,CHAS,nox,RM,AGE,DIS,RAD,TAX,PTRATIO,black,lstat,v21,v22,CRIM,B,LSTAT
"Marblehead","2","2033",-70.9165,42.304,28.7,28.7,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,NA,NA,0.02985,394.12,5.21
"Lynn","4","2054",-70.987,42.2985,23.1,23.1,1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58,NA,NA,1.05393,386.85,6.58
"Lynn","4","2064",-70.9597,42.287,16.6,16.6,0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81,NA,NA,0.67191,376.88,14.81
"Hamilton","11","2151",-70.93,42.374,24.7,24.7,0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77,NA,NA,0.02055,396.9,5.77
"Wakefield","20","3351",-71.043,42.3075,23.9,23.9,0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62,NA,NA,0.05059,396.9,9.62
"Stoneham","22","3373",-71.0615,42.284,20.6,20.6,0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,NA,NA,0.04294,396.9,10.59
"Winchester","23","3382",-71.085,42.2775,21.4,21.4,0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34,NA,NA,0.11504,391.83,11.34
"Malden","25","3411",-71.0475,42.261,22.8,22.8,0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,NA,NA,0.10084,395.59,10.16
"Somerville","27","3502",-71.058,42.235,18,18,0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39,NA,NA,0.32543,396.9,15.39
"Somerville","27","3507",-71.079,42.245,18.4,18.4,0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,388.69,15.03,NA,NA,0.32982,388.69,15.03
"Somerville","27","3513",-71.0568,42.23,17.8,17.8,0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46,NA,NA,0.54452,396.9,18.46
"Cambridge","28","3522",-71.0519,42.223,15.6,15.6,4.0974,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,396.9,26.42,NA,NA,4.0974,396.9,26.42
"Newton","40","3744",-71.134,42.204,48.3,48.3,0.33147,0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,378.95,3.95,NA,NA,0.33147,378.95,3.95
"Natick","41","3821",-71.2055,42.1875,23.7,23.7,0.08244,30,4.93,0,0.428,6.481,18.5,6.1899,6,300,16.6,379.41,6.36,NA,NA,0.08244,379.41,6.36
"Brookline","45","4006",-71.0835,42.2,48.8,48.8,0.52014,20,3.97,0,0.647,8.398,91.5,2.2885,5,264,13,386.86,5.91,NA,NA,0.52014,386.86,5.91
"Brookline","45","4007",-71.075,42.198,31,31,0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,5,264,13,393.42,11.25,NA,NA,0.82526,393.42,11.25
"Lynn","4","2066",-70.957,42.28,18.4,18.4,0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8,NA,NA,0.77299,387.94,12.8
"Peabody","7","2106",-70.965,42.3075,20,20,0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,14.15,NA,NA,0.18836,396.9,14.15
"Peabody","7","2107",-70.956,42.3125,16.6,16.6,0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,NA,NA,0.22927,392.74,18.8
"Cambridge","28","3524",-71.054,42.219,13.8,13.8,2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,172.91,27.8,NA,NA,2.37934,172.91,27.8
"Concord","34","3613",-71.222,42.289,34.6,34.6,0.03768,80,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62,NA,NA,0.03768,392.2,6.62
"Waltham","38","3683",-71.149,42.2268,22.5,22.5,0.25199,0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,389.43,18.06,NA,NA,0.25199,389.43,18.06
"Newton","40","3746",-71.138,42.2141,24,24,0.33045,0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88,NA,NA,0.33045,376.75,10.88
"Framingham","42","3831",-71.2435,42.163,17.6,17.6,0.20608,22,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5,NA,NA,0.20608,372.49,12.5
"Framingham","42","3839",-71.2685,42.1935,29.6,29.6,0.08221,22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53,NA,NA,0.08221,386.09,3.53
"Dedham","46","4024",-71.0982,42.1445,24.4,24.4,0.1146,20,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73,NA,NA,0.1146,394.96,7.73
"Needham","47","4032",-71.138,42.1733,32,32,0.09604,40,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98,NA,NA,0.09604,396.9,2.98
"Quincy","59","4181",-71.01,42.15,23.1,23.1,0.40202,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,395.21,10.36,NA,NA,0.40202,395.21,10.36
"Braintree","60","4196",-71,42.1066,24.6,24.6,0.19186,0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08,NA,NA,0.19186,393.68,5.08
"Rockland","67","5022",-70.9501,42.0825,17.2,17.2,0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,NA,NA,0.06162,364.61,12.67
